Date/Time,CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/09  21:00:00,19.362049712143676,19.363885821258155,18.171828835881744,17.900915847687,18.44702516072168,-3.0538203649899343,-0.9385983335438923,-0.9972813246693496,-1.256373350452013,-1.3154285455394257,-1.1885240401314907 
 01/09  22:00:00,19.153122619018745,19.026705206020782,17.788607925300226,17.519983758300505,18.059987195983915,-2.9748726707252153,-0.9695620275998036,-1.0647383504990715,-1.3332107501995523,-1.3919485901577624,-1.2671484733938325 
 01/09  23:00:00,18.97758222935238,18.674817491137503,17.4471062126343,17.18748546867364,17.700793130837184,-2.2605860593739586,-0.9993720561016798,-1.1298006119853254,-1.3993383422062105,-1.4561824415817908,-1.3373037830644985 
 01/09  24:00:00,18.7818058313339,18.38459440323883,17.148881812399267,16.897378338378566,17.385763100762368,-1.6378341845915974,-1.0357189069422341,-1.1882966218659599,-1.4584954613372194,-1.513435864330357,-1.4003152709605917 
 01/10  01:00:00,18.918078278380566,18.485933526555478,17.26474084431623,17.026242452889797,17.488087959258525,-1.7173054719912724,-1.025312850074184,-1.1919218811030254,-1.458375845742466,-1.5106120888653636,-1.4032777584683807 
 01/10  02:00:00,18.894402873417942,18.345613994673503,17.13750848114556,16.92732988180759,17.34810126521735,-1.4819730930436505,-1.0313921130218748,-1.2179606598795985,-1.4823728827628915,-1.5298457945714852,-1.430150092119581 
 01/10  03:00:00,18.863911619784083,18.173078642912046,16.967417420063807,16.77306576055355,17.165359576505413,0.2077039505515655,-1.038450381213339,-1.2520887448947238,-1.5158871747377047,-1.5600892794746326,-1.4667199034084026 
 01/10  04:00:00,18.834774907447553,18.136228597275178,16.952323331531737,16.76444374964032,17.142550375810007,0.5864631033854464,-1.045078486290289,-1.268341882078164,-1.5283159820527816,-1.570960104779123,-1.4812435840963598 
 01/10  05:00:00,18.929746682652215,18.093382733915117,16.93610320848473,16.75613676151633,17.11802944441771,0.09357346737584232,-1.0348966172360727,-1.2817690647041533,-1.536988087846649,-1.5778185830551,-1.491782918038296 
 01/10  06:00:00,19.18281235412241,18.023530567376383,16.884088800095153,16.714870846948777,17.060721892025768,0.7717032489624115,-0.9973633645612681,-1.299160511715113,-1.5509516921953637,-1.5894946214775725,-1.507254347555744 
