Date/Time,CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/29  11:00:00,17.832380309651125,19.598433284080873,16.82473352157624,15.238472493035768,15.402783564545148,12.799341963789514,-1.4016874755190027,-0.9709528340875081,-1.5940022055553755,-1.9847166842758495,-1.9279815383058363 
 01/29  12:00:00,18.07194073315589,20.519716036386566,16.61568621105669,15.293107700960714,15.37852572365885,19.614791400001355,-1.3527940081040966,-0.768690515083959,-1.6381588453024678,-1.9662678931522892,-1.915019057294564 
 01/29  13:00:00,18.250955305389205,21.181797028771868,16.5840754702446,15.347966132536081,15.592607984989431,23.417344158987696,-1.3140980385138246,-0.6174282674463256,-1.642394199997971,-1.9461247014759064,-1.8674686875402995 
 01/29  14:00:00,18.39267135963107,21.40816904234873,16.6659587768723,15.413925549215328,16.019930257576018,23.432973920930362,-1.2835048821085888,-0.5651885367277755,-1.6286091451608278,-1.927681784738712,-1.773528483377836 
 01/29  15:00:00,18.484965179755264,21.23717715440461,16.693998480293175,15.247516775651773,16.502747201517096,20.89262500980163,-1.263731998266286,-0.6003151205106809,-1.6256158281473425,-1.9458980655555564,-1.669304386630114 
 01/29  16:00:00,18.528302242075416,20.929938584643665,16.584942889517272,15.229477256592508,16.808188764032522,16.53092072844553,-1.2544100145904336,-0.6664751050306288,-1.6486906228287201,-1.9505746710335816,-1.5993072105491066 
 01/29  17:00:00,18.54358904311683,20.419504804465998,16.358561102077758,15.088875116107397,16.84569047101788,10.809756164504943,-1.2513957981268562,-0.7778290153542409,-1.694764280481631,-1.9791663002849254,-1.5892400683235328 
 01/29  18:00:00,18.483190879211232,19.628919959159624,16.06000383385686,15.278256204728077,16.289533842850243,4.69589284621316,-1.2654542856679518,-0.9434807647197843,-1.7560031276671813,-1.9646350858464117,-1.709410710018675 
 01/29  19:00:00,18.37664014618219,19.11701072309094,15.741807184835366,15.409818969362757,15.826694571862388,-0.6075923948847664,-1.288913537485276,-1.0535120025145124,-1.8195111853388475,-1.9584872298184441,-1.80395097981895 
 01/29  20:00:00,18.2805005429937,18.71953057361374,15.454415595771547,15.411608800989471,15.443053368549625,-3.27648872788441,-1.3099215595601725,-1.138740285702442,-1.8753252583929638,-1.9621548576491683,-1.8795172430409823 
